대분류,중분류,소분류,URL,JSP,TABLE
사용자관리,사용자정보관리,사용자 목록,/uss/umt/user/EgovUserManage.do,/src/main/webapp/WEB-INF/jsp/cmm/uss/umt/EgovUserManage.jsp,EMPLYRINFO
,,사용자 등록,/uss/umt/user/EgovUserInsertView.do,/src/main/webapp/WEB-INF/jsp/cmm/uss/umt/EgovUserInsert.jsp,EMPLYRINFO
,,사용자 수정,/uss/umt/user/EgovUserSelectUpdtView.do,/src/main/webapp/WEB-INF/jsp/cmm/uss/umt/EgovUserSelectUpdt.jsp,EMPLYRINFO
,,암호변경,/uss/umt/user/EgovUserPasswordUpdtView.do,/src/main/webapp/WEB-INF/jsp/cmm/uss/umt/EgovUserPasswordUpdt.jsp,EMPLYRINFO
,,아이디중복확인,/uss/umt/cmm/EgovIdDplctCnfirmView.do,/src/main/webapp/WEB-INF/jsp/cmm/uss/umt/EgovIdDplctCnfirm.jsp,EMPLYRINFO
,,우편번호찾기,/sym/cmm/EgovCcmZipSearchPopup.do,/src/main/webapp/WEB-INF/jsp/cmm/sym/zip/EgovCcmZipSearchPopup.jsp,ZIP
,사용자부재관리,사용자부재 목록,/uss/ion/uas/selectUserAbsnceList.do,/src/main/webapp/WEB-INF/jsp/uss/ion/uas/EgovUserAbsnceList.jsp,"EMPLYRINFO
USERABSNCE"
,,사용자부재 수정,/uss/ion/uas/getUserAbsnce.do,/src/main/webapp/WEB-INF/jsp/uss/ion/uas/EgovUserAbsnceRegist.jsp,USERABSNCE
,,사용자부재 등록,/uss/ion/uas/addViewUserAbsnce.do,/src/main/webapp/WEB-INF/jsp/uss/ion/uas/EgovUserAbsnceUpdt.jsp,USERABSNCE
사용자권한관리,권한관리,권한 목록,/sec/ram/EgovAuthorList.do,/src/main/webapp/WEB-INF/jsp/sec/ram/EgovAuthorManage.jsp,AUTHORINFO
,,권한 등록,/sec/ram/EgovAuthorInsertView.do,/src/main/webapp/WEB-INF/jsp/sec/ram/EgovAuthorInsert.jsp,AUTHORINFO
,,권한 수정,/sec/ram/EgovAuthorUpdate.do,/src/main/webapp/WEB-INF/jsp/sec/ram/EgovAuthorUpdate.jsp,AUTHORINFO
,,권한롤목록,/sec/ram/EgovAuthorRoleList.do,/src/main/webapp/WEB-INF/jsp/sec/ram/EgovAuthorRoleManage.jsp,"AUTHORINFO
AUTHORROLERELATE"
,사용자그룹관리,사용자그룹 목록,/sec/gmt/EgovGroupList.do,/src/main/webapp/WEB-INF/jsp/sec/gmt/EgovGroupManage.jsp,AUTHORGROUPINFO
,,사용자그룹 등록,/sec/gmt/EgovGroupInsertView.do,/src/main/webapp/WEB-INF/jsp/sec/gmt/EgovGroupInsert.jsp,AUTHORGROUPINFO
,,사용자그룹 수정,/sec/gmt/EgovGroup.do,/src/main/webapp/WEB-INF/jsp/sec/gmt/EgovGroupUpdate.jsp,AUTHORGROUPINFO
,사용자별권한관리,사용자별권한 목록,/sec/rgm/EgovAuthorGroupList.do,/src/main/webapp/WEB-INF/jsp/sec/rgm/EgovAuthorGroupManage.jsp,"EMPLYRINFO
EMPLYRSCRTYESTBS"
,롤관리,롤 목록,/sec/rmt/EgovRoleList.do,/src/main/webapp/WEB-INF/jsp/sec/rmt/EgovRoleManage.jsp,ROLEINFO
,,롤 등록,/sec/rmt/EgovRoleInsertView.do,/src/main/webapp/WEB-INF/jsp/sec/rmt/EgovRoleInsert.jsp,ROLEINFO
